hour,hour_of_day,day_of_week,typology,counterfactual,location,plugged_in,soc,action,energy_kwh,price_per_kwh,cost_currency
110,14,4,Threshold Charger,V0,work,False,0.9536,IDLE,0.0,0.85,0.0
111,15,4,Threshold Charger,V0,work,False,0.9536,IDLE,0.0,0.85,0.0
112,16,4,Threshold Charger,V0,driving,False,0.9072,DRIVING,0.0,0.85,0.0
113,17,4,Threshold Charger,V0,home,True,0.9954,CHARGE,5.5708,1.69,9.4147
114,18,4,Threshold Charger,V0,home,True,0.9998,CHARGE,0.2785,1.69,0.4707
115,19,4,Threshold Charger,V0,home,True,1.0,CHARGE,0.0139,1.69,0.0235
116,20,4,Threshold Charger,V0,home,True,1.0,CHARGE,0.0007,1.69,0.0012
117,21,4,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,1.69,0.0001
118,22,4,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,1.69,0.0
119,23,4,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
120,0,5,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
121,1,5,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
122,2,5,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
123,3,5,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
124,4,5,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
125,5,5,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.53,0.0
126,6,5,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.53,0.0
127,7,5,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.85,0.0
128,8,5,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.85,0.0
129,9,5,Threshold Charger,V0,driving,False,0.9474,DRIVING,0.0,0.85,0.0
130,10,5,Threshold Charger,V0,work,False,0.9474,IDLE,0.0,0.85,0.0
131,11,5,Threshold Charger,V0,work,False,0.9474,IDLE,0.0,0.85,0.0
132,12,5,Threshold Charger,V0,work,False,0.9474,IDLE,0.0,0.85,0.0
133,13,5,Threshold Charger,V0,work,False,0.9474,IDLE,0.0,0.85,0.0
134,14,5,Threshold Charger,V0,work,False,0.9474,IDLE,0.0,0.85,0.0
135,15,5,Threshold Charger,V0,work,False,0.9474,IDLE,0.0,0.85,0.0
136,16,5,Threshold Charger,V0,driving,False,0.8949,DRIVING,0.0,0.85,0.0
137,17,5,Threshold Charger,V0,home,True,0.9947,CHARGE,6.3084,1.69,10.6612
138,18,5,Threshold Charger,V0,home,True,0.9997,CHARGE,0.3154,1.69,0.5331
139,19,5,Threshold Charger,V0,home,True,1.0,CHARGE,0.0158,1.69,0.0267
140,20,5,Threshold Charger,V0,home,True,1.0,CHARGE,0.0008,1.69,0.0013
141,21,5,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,1.69,0.0001
142,22,5,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,1.69,0.0
143,23,5,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
144,0,6,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
145,1,6,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
146,2,6,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
147,3,6,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
148,4,6,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
149,5,6,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.53,0.0
150,6,6,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.53,0.0
151,7,6,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.85,0.0
152,8,6,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.85,0.0
153,9,6,Threshold Charger,V0,driving,False,0.9507,DRIVING,0.0,0.85,0.0
154,10,6,Threshold Charger,V0,work,False,0.9507,IDLE,0.0,0.85,0.0
155,11,6,Threshold Charger,V0,work,False,0.9507,IDLE,0.0,0.85,0.0
156,12,6,Threshold Charger,V0,work,False,0.9507,IDLE,0.0,0.85,0.0
157,13,6,Threshold Charger,V0,work,False,0.9507,IDLE,0.0,0.85,0.0
158,14,6,Threshold Charger,V0,work,False,0.9507,IDLE,0.0,0.85,0.0
159,15,6,Threshold Charger,V0,work,False,0.9507,IDLE,0.0,0.85,0.0
160,16,6,Threshold Charger,V0,driving,False,0.9015,DRIVING,0.0,0.85,0.0
161,17,6,Threshold Charger,V0,home,True,0.9951,CHARGE,5.9103,1.69,9.9883
162,18,6,Threshold Charger,V0,home,True,0.9998,CHARGE,0.2955,1.69,0.4994
163,19,6,Threshold Charger,V0,home,True,1.0,CHARGE,0.0148,1.69,0.025
164,20,6,Threshold Charger,V0,home,True,1.0,CHARGE,0.0007,1.69,0.0012
165,21,6,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,1.69,0.0001
166,22,6,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,1.69,0.0
167,23,6,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
