hour,hour_of_day,day_of_week,typology,counterfactual,location,plugged_in,soc,action,energy_kwh,price_per_kwh,cost_currency
103,7,4,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.85,0.0
104,8,4,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.85,0.0
105,9,4,Threshold Charger,V2G,driving,False,0.8969,DRIVING,0.0,0.85,0.0
106,10,4,Threshold Charger,V2G,work,False,0.8969,IDLE,0.0,0.85,0.0
107,11,4,Threshold Charger,V2G,work,False,0.8969,IDLE,0.0,0.85,0.0
108,12,4,Threshold Charger,V2G,work,False,0.8969,IDLE,0.0,0.85,0.0
109,13,4,Threshold Charger,V2G,work,False,0.8969,IDLE,0.0,0.85,0.0
110,14,4,Threshold Charger,V2G,work,False,0.8969,IDLE,0.0,0.85,0.0
111,15,4,Threshold Charger,V2G,work,False,0.8969,IDLE,0.0,0.85,0.0
112,16,4,Threshold Charger,V2G,driving,False,0.8505,DRIVING,0.0,0.85,0.0
113,17,4,Threshold Charger,V2G,home,True,0.6905,DISCHARGE,-9.12,1.69,-15.4128
114,18,4,Threshold Charger,V2G,home,True,0.5305,DISCHARGE,-9.12,1.69,-15.4128
115,19,4,Threshold Charger,V2G,home,True,0.5,DISCHARGE,-1.7377,1.69,-2.9368
116,20,4,Threshold Charger,V2G,home,True,0.5,IDLE,0.0,1.69,0.0
117,21,4,Threshold Charger,V2G,home,True,0.5,IDLE,0.0,1.69,0.0
118,22,4,Threshold Charger,V2G,home,True,0.5,IDLE,0.0,1.69,0.0
119,23,4,Threshold Charger,V2G,home,True,0.6108,CHARGE,7.0,0.53,3.71
120,0,5,Threshold Charger,V2G,home,True,0.7217,CHARGE,7.0,0.53,3.71
121,1,5,Threshold Charger,V2G,home,True,0.8325,CHARGE,7.0,0.53,3.71
122,2,5,Threshold Charger,V2G,home,True,0.9433,CHARGE,7.0,0.53,3.71
